case_name,time_ms,eye_x,eye_y,eye_z,gaze_x,gaze_y,gaze_z,plane_center_x,plane_center_y,plane_center_z,plane_normal_x,plane_normal_y,plane_normal_z,plane_width,plane_height,hit,in_out,hit_x,hit_y,hit_z,plane_u,plane_v,distance_intersection_minus_gaze_xy0,reason
close_plane,30,0.0,0.0,0.0,-0.08879538,0.27328408,0.95782629,0.0,0.0,0.5,0.0,0.0,-1.0,1.0,0.6,True,True,-0.04635254915624211,0.14265847744427307,0.5,0.04635254915624211,0.14265847744427307,0.5185213994326039,inside
close_plane,31,0.0,0.0,0.0,-0.10577981,0.26716931,0.95782629,0.0,0.0,0.5,0.0,0.0,-1.0,1.0,0.6,True,True,-0.05521868290270167,0.13946647288323774,0.5,0.05521868290270167,0.13946647288323774,0.5185213994326039,inside
close_plane,32,0.0,0.0,0.0,-0.12234678,0.26000014,0.95782629,0.0,0.0,0.5,0.0,0.0,-1.0,1.0,0.6,True,True,-0.0638668937347609,0.1357240578699029,0.5,0.0638668937347609,0.1357240578699029,0.5185213994326039,inside
close_plane,33,0.0,0.0,0.0,-0.13843090,0.25180487,0.95782629,0.0,0.0,0.5,0.0,0.0,-1.0,1.0,0.6,True,True,-0.07226305111525733,0.13144600200657955,0.5,0.07226305111525733,0.13144600200657955,0.5185213994326039,inside
close_plane,34,0.0,0.0,0.0,-0.15396870,0.24261584,0.95782629,0.0,0.0,0.5,0.0,0.0,-1.0,1.0,0.6,True,True,-0.08037401924684948,0.1266491888253023,0.5,0.08037401924684948,0.1266491888253023,0.5185213994326039,inside
close_plane,35,0.0,0.0,0.0,-0.16889885,0.23246932,0.95782629,0.0,0.0,0.5,0.0,0.0,-1.0,1.0,0.6,True,True,-0.08816778784387097,0.12135254915624212,0.5,0.08816778784387097,0.12135254915624212,0.5185213994326039,inside
close_plane,36,0.0,0.0,0.0,-0.18316244,0.22140535,0.95782629,0.0,0.0,0.5,0.0,0.0,-1.0,1.0,0.6,True,True,-0.09561359846230347,0.11557698641636839,0.5,0.09561359846230347,0.11557698641636839,0.5185213994326039,inside
close_plane,37,0.0,0.0,0.0,-0.19670316,0.20946759,0.95782629,0.0,0.0,0.5,0.0,0.0,-1.0,1.0,0.6,True,True,-0.10268206588930331,0.10934529411321173,0.5,0.10268206588930331,0.10934529411321173,0.5185213994326039,inside
close_plane,38,0.0,0.0,0.0,-0.20946759,0.19670316,0.95782629,0.0,0.0,0.5,0.0,0.0,-1.0,1.0,0.6,True,True,-0.10934529411321171,0.10268206588930334,0.5,0.10934529411321171,0.10268206588930334,0.5185213994326039,inside
close_plane,39,0.0,0.0,0.0,-0.22140535,0.18316244,0.95782629,0.0,0.0,0.5,0.0,0.0,-1.0,1.0,0.6,True,True,-0.11557698641636838,0.0956135984623035,0.5,0.11557698641636838,0.0956135984623035,0.5185213994326039,inside
