timestamp_unix_seconds,time_ms,frame_index,eye_position_x,eye_position_y,eye_position_z,eye_orientation_x,eye_orientation_y,eye_orientation_z,eye_orientation_w,gaze_dir_x,gaze_dir_y,gaze_dir_z,plane_center_x,plane_center_y,plane_center_z,plane_normal_x,plane_normal_y,plane_normal_z,plane_width,plane_height,hit,in_out,reason,t,hit_x,hit_y,hit_z,plane_u,plane_v
1780011701.616284,5452.6,97,0.11071626096963882,0.8174079060554504,0.19891226291656494,-0.5790448784828186,-0.0942281037569046,-0.10118186473846436,-0.8034864068031311,-0.26859965999872365,0.9114409518843715,-0.31165624312161794,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,0.6,True,False,outside,3.8469059721313275,-0.9225613751918953,4.323635547104501,-1.0,-0.9225613751918953,4.323635547104501
1780011701.677161,5513.5,98,0.10927877575159073,0.808027982711792,0.2105739414691925,-0.573803186416626,-0.09943940490484238,-0.10098971426486969,-0.8066366910934448,-0.27631939420591434,0.9056167240604005,-0.3217233928202688,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,0.6,True,False,outside,3.762778736283815,-0.930449965189249,4.215663335229275,-1.0,-0.930449965189249,4.215663335229275
1780011701.723407,5559.8,99,0.10748596489429474,0.8044666647911072,0.21719911694526672,-0.5704982280731201,-0.09856902807950974,-0.10488608479499817,-0.8085882663726807,-0.27907812634793977,0.9019191660897827,-0.3296319420718121,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,0.6,True,False,outside,3.6926006299477288,-0.9230381002627395,4.134893945656169,-1.0,-0.9230381002627395,4.134893945656169
1780011701.766426,5602.8,100,0.10502949357032776,0.8021625280380249,0.22340679168701172,-0.567947268486023,-0.09349921345710754,-0.10904981940984726,-0.8104331493377686,-0.27541883046633875,0.9001744824156724,-0.3373875650231207,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,0.6,True,False,outside,3.626117019467429,-0.8936714150654775,4.066300539215778,-1.0,-0.8936714150654775,4.066300539215778
1780011701.817448,5653.8,101,0.1015089675784111,0.8003018498420715,0.2295336127281189,-0.565830409526825,-0.08608672022819519,-0.11350664496421814,-0.8121214509010315,-0.2682767710462335,0.8995032100235862,-0.3448500388201675,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,0.6,True,False,outside,3.5654153235264574,-0.8550091428560288,4.007404378421404,-1.0,-0.8550091428560288,4.007404378421404
1780011701.876048,5712.4,102,0.09459049999713898,0.7982807159423828,0.23882566392421722,-0.5655611753463745,-0.07436829060316086,-0.11763345450162888,-0.8128791451454163,-0.25396263870312324,0.901969173251776,-0.34921997171761926,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,0.6,True,False,outside,3.547407835328321,-0.8063185544189759,3.9979332283603406,-1.0,-0.8063185544189759,3.9979332283603406
1780011701.922952,5759.3,103,0.0892038494348526,0.7971268892288208,0.24471476674079895,-0.5696231126785278,-0.06292823702096939,-0.11958594620227814,-0.8107211589813232,-0.23827233248437737,0.9085603095323359,-0.3431391255962519,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,0.6,True,False,outside,3.6274346872509335,-0.7751134744311653,4.092870071485861,-1.0,-0.7751134744311653,4.092870071485861
1780011701.975519,5811.9,104,0.08649241924285889,0.7967578768730164,0.2475820630788803,-0.5717552900314331,-0.05661308392882347,-0.11765849590301514,-0.8099674582481384,-0.22625325578207256,0.912884375720166,-0.3397816663888962,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,0.6,True,False,outside,3.6717168302158,-0.7442454679032973,4.148610803245793,-1.0,-0.7442454679032973,4.148610803245793
1780011702.033997,5870.4,105,0.07972745597362518,0.7957364916801453,0.25406956672668457,-0.5812726020812988,-0.033920083194971085,-0.11148174107074738,-0.805321991443634,-0.18423572318896098,0.9286601876513417,-0.32194324681908676,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,0.6,True,False,outside,3.895312540695715,-0.6379282670084788,4.413158166683253,-1.0,-0.6379282670084788,4.413158166683253
1780011702.093585,5929.9,106,0.07587186992168427,0.7957763671875,0.25692546367645264,-0.5883892178535461,-0.01504968199878931,-0.10856937617063522,-0.8011144399642944,-0.1518751327541253,0.9394663095444559,-0.3071432846113319,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,0.6,True,False,outside,4.092309767628496,-0.5456482193078973,4.640363522094173,-1.0,-0.5456482193078973,4.640363522094173
