timestamp_unix_seconds,time_ms,frame_index,available_keys,eye_key_used,eye_available,eye_position_x,eye_position_y,eye_position_z,eye_orientation_x,eye_orientation_y,eye_orientation_z,eye_orientation_w,head_position_x,head_position_y,head_position_z,head_orientation_x,head_orientation_y,head_orientation_z,head_orientation_w
1780011697.871878,1708.2,29,eye,eye,True,0.22806233167648315,1.1724815368652344,-0.3703196048736572,0.2915264368057251,-0.6783686280250549,-0.07094399631023407,-0.6706678867340088,,,,,,,
1780011697.934324,1770.7,30,eye,eye,True,0.22837914526462555,1.1652477979660034,-0.37829482555389404,0.2973310053348541,-0.6900391578674316,-0.018872112035751343,-0.6596090197563171,,,,,,,
1780011697.997775,1834.1,31,eye,eye,True,0.22936037182807922,1.1598471403121948,-0.37539663910865784,0.2882639467716217,-0.6898617744445801,0.008637398481369019,-0.6640181541442871,,,,,,,
1780011698.062315,1898.7,32,eye,eye,True,0.2277865707874298,1.1567816734313965,-0.36225974559783936,0.27615344524383545,-0.6758714318275452,0.025206878781318665,-0.6828628778457642,,,,,,,
1780011698.124007,1960.4,33,eye,eye,True,0.2225891798734665,1.1580086946487427,-0.3457159101963043,0.2681533992290497,-0.6548562049865723,0.01842980831861496,-0.7063409686088562,,,,,,,
1780011698.191990,2028.4,34,eye,eye,True,0.21510259807109833,1.1604228019714355,-0.32451131939888,0.2589249610900879,-0.6203415393829346,-5.815178155899048e-05,-0.7403609752655029,,,,,,,
1780011698.258085,2094.5,35,eye,eye,True,0.202700674533844,1.1620186567306519,-0.2873585820198059,0.23477667570114136,-0.5499652624130249,-0.028175927698612213,-0.8010146021842957,,,,,,,
1780011698.268868,2105.2,36,eye,eye,True,0.20051100850105286,1.161644697189331,-0.28075888752937317,0.22890816628932953,-0.5359236001968384,-0.03219692036509514,-0.8120039701461792,,,,,,,
1780011698.321908,2158.3,37,eye,eye,True,0.19412709772586823,1.1588886976242065,-0.26133209466934204,0.20832382142543793,-0.49223798513412476,-0.04057080298662186,-0.8441901803016663,,,,,,,
1780011698.373758,2210.1,38,eye,eye,True,0.18846359848976135,1.1517338752746582,-0.23942060768604279,0.1732877939939499,-0.44111090898513794,-0.04201909154653549,-0.8795607089996338,,,,,,,
1780011698.436211,2272.6,39,eye,eye,True,0.1866067349910736,1.1434955596923828,-0.22140654921531677,0.13684074580669403,-0.4060297906398773,-0.03426968306303024,-0.9029064178466797,,,,,,,
1780011698.495508,2331.9,40,eye,eye,True,0.18770435452461243,1.135609745979309,-0.20386603474617004,0.10090722888708115,-0.38035640120506287,-0.02764623984694481,-0.9189028143882751,,,,,,,
1780011698.528492,2364.9,41,eye,eye,True,0.18809504806995392,1.1326353549957275,-0.19745202362537384,0.08806049078702927,-0.37271666526794434,-0.025012027472257614,-0.9234187006950378,,,,,,,
1780011698.594028,2430.4,42,eye,eye,True,0.18818575143814087,1.1251739263534546,-0.18481843173503876,0.05807631462812424,-0.3572523891925812,-0.02163824439048767,-0.9319493770599365,,,,,,,
1780011698.655691,2492.1,43,eye,eye,True,0.18591846525669098,1.116736888885498,-0.1698119044303894,0.023863062262535095,-0.33461347222328186,-0.02314593270421028,-0.9417688846588135,,,,,,,
